,source,target,Znum_x,Xnum_x,Znum_y,Xnum_y,commute,weight
206,IIIIZZ,ZIIIZI,3,0,34,0,True,0.0
207,IIIIZZ,ZIIZII,3,0,36,0,True,0.0
208,IIIIZZ,ZIZIII,3,0,40,0,True,0.0
209,IIIIZZ,ZZIIII,3,0,48,0,True,0.0
210,IIIIZZ,IXIXII,3,0,0,20,True,0.3333333333333333
211,IIIIZZ,IXXIXX,3,0,0,27,True,0.6666666666666666
212,IIIIZZ,IIXXYY,3,0,3,15,True,1.0
213,IIIIZZ,XXIIYY,3,0,3,51,True,1.0
214,IIIIZZ,IIXYYX,3,0,6,15,True,1.0
215,IIIIZZ,IXIZZX,3,0,6,17,False,0.3333333333333333
216,IIIIZZ,IXXYYI,3,0,6,30,False,1.0
217,IIIIZZ,IIYXXY,3,0,9,15,True,1.0
218,IIIIZZ,IXZXZI,3,0,10,20,True,0.3333333333333333
219,IIIIZZ,IXYIYX,3,0,10,27,True,1.0
220,IIIIZZ,IIYYXX,3,0,12,15,True,1.0
221,IIIIZZ,IXZZIX,3,0,12,17,False,0.3333333333333333
222,IIIIZZ,IXYYXI,3,0,12,30,False,1.0
223,IIIIZZ,XXYYII,3,0,12,60,True,1.0
224,IIIIZZ,IYXIXY,3,0,17,27,True,1.0
225,IIIIZZ,XZXIIZ,3,0,17,40,True,0.3333333333333333
226,IIIIZZ,IYXXYI,3,0,18,30,False,1.0
227,IIIIZZ,XZXXZX,3,0,18,45,False,0.6666666666666666
228,IIIIZZ,XYIIYX,3,0,18,51,True,1.0
229,IIIIZZ,IYIYII,3,0,20,20,True,0.6666666666666666
230,IIIIZZ,XZXZII,3,0,20,40,True,0.3333333333333333
231,IIIIZZ,IYIZZY,3,0,23,17,False,0.6666666666666666
232,IIIIZZ,XZXYZY,3,0,23,45,False,1.0
233,IIIIZZ,IYYXXI,3,0,24,30,False,1.0
234,IIIIZZ,XZZIXI,3,0,24,34,False,0.3333333333333333
235,IIIIZZ,XYYXII,3,0,24,60,True,1.0
236,IIIIZZ,IYYIYY,3,0,27,27,True,1.3333333333333333
237,IIIIZZ,XZZXYY,3,0,27,39,True,1.0
238,IIIIZZ,IYZZIY,3,0,29,17,False,0.6666666666666666
239,IIIIZZ,XZZZXZ,3,0,29,34,False,0.3333333333333333
