,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
533,253,YXIIIIXYIIII,2,ZIIIIIIZIIII,XXIIIIXXIIII,2064,3120,72,30
534,261,YXIIXYIIIIII,2,ZIIIIZIIIIII,XXIIXXIIIIII,2112,3264,74,36
535,327,ZIIXZZZZZXII,2,ZIIIZZZZZIII,IIIXIIIIIXII,2296,260,212,31
536,395,YXIXZZZZYIII,2,ZIIIZZZZZIII,XXIXIIIIXIII,2296,3336,212,41
537,353,ZIIXZZZZZZZX,2,ZIIIZZZZZZZI,IIIXIIIIIIIX,2302,257,213,33
538,425,YXIXZZZZZZYI,2,ZIIIZZZZZZZI,XXIXIIIIIIXI,2302,3330,213,44
539,275,YXXYIIIIIIII,2,ZIIZIIIIIIII,XXXXIIIIIIII,2304,3840,76,57
540,391,ZIXZZZZZXIII,2,ZIIZZZZZIIII,IIXIIIIIXIII,2544,520,214,40
541,328,ZIIYZZZZZYII,2,ZIIZZZZZZZII,IIIXIIIIIXII,2556,260,215,31
542,421,ZIXZZZZZZZXI,2,ZIIZZZZZZZII,IIXIIIIIIIXI,2556,514,215,43
543,573,YXXZZZZZZYII,2,ZIIZZZZZZZII,XXXIIIIIIXII,2556,3588,215,66
544,354,ZIIYZZZZZZZY,2,ZIIZZZZZZZZZ,IIIXIIIIIIIX,2559,257,216,33
545,577,YXXZZZZZZZZY,2,ZIIZZZZZZZZZ,XXXIIIIIIIIX,2559,3585,216,67
546,146,ZXZXIIIIIIII,2,ZIZIIIIIIIII,IXIXIIIIIIII,2560,1280,77,6
547,184,YIYIIIIIIIII,2,ZIZIIIIIIIII,XIXIIIIIIIII,2560,2560,77,11
548,392,ZIYZZZZZYIII,2,ZIZZZZZZZIII,IIXIIIIIXIII,3064,520,217,40
549,467,ZXZZZZZZZXII,2,ZIZZZZZZZIII,IXIIIIIIIXII,3064,1028,217,50
550,534,YIZZZZZZYIII,2,ZIZZZZZZZIII,XIIIIIIIXIII,3064,2056,217,63
551,422,ZIYZZZZZZZYI,2,ZIZZZZZZZZZI,IIXIIIIIIIXI,3070,514,218,43
552,497,ZXZZZZZZZZZX,2,ZIZZZZZZZZZI,IXIIIIIIIIIX,3070,1025,218,53
553,560,YIZZZZZZZZYI,2,ZIZZZZZZZZZI,XIIIIIIIIIXI,3070,2050,218,65
554,218,YYIIIIIIIIXX,2,ZZIIIIIIIIII,XXIIIIIIIIXX,3072,3075,78,17
555,242,YYIIIIIIXXII,2,ZZIIIIIIIIII,XXIIIIIIXXII,3072,3084,78,23
556,254,YYIIIIXXIIII,2,ZZIIIIIIIIII,XXIIIIXXIIII,3072,3120,78,30
557,262,YYIIXXIIIIII,2,ZZIIIIIIIIII,XXIIXXIIIIII,3072,3264,78,36
558,276,YYXXIIIIIIII,2,ZZIIIIIIIIII,XXXXIIIIIIII,3072,3840,78,57
559,284,YZXIIIIIXZYI,2,ZZIIIIIIIZZI,XIXIIIIIXIXI,3078,2570,219,69
560,198,YYIIIIIIIYYI,2,ZZIIIIIIIZZI,XXIIIIIIIXXI,3078,3078,219,12
561,306,YYIIIIIIXZZX,2,ZZIIIIIIIZZI,XXIIIIIIXIIX,3078,3081,219,27
562,535,YZIZZZZZYIII,2,ZZIZZZZZZIII,XIIIIIIIXIII,3576,2056,220,63
563,396,YYIYZZZZYIII,2,ZZIZZZZZZIII,XXIXIIIIXIII,3576,3336,220,41
564,574,YYXZZZZZZXII,2,ZZIZZZZZZIII,XXXIIIIIIXII,3576,3588,220,66
565,561,YZIZZZZZZZYI,2,ZZIZZZZZZZZI,XIIIIIIIIIXI,3582,2050,221,65
566,426,YYIYZZZZZZYI,2,ZZIZZZZZZZZI,XXIXIIIIIIXI,3582,3330,221,44
567,578,YYXZZZZZZZZX,2,ZZIZZZZZZZZI,XXXIIIIIIIIX,3582,3585,221,67
568,185,YZYIIIIIIIII,2,ZZZIIIIIIIII,XIXIIIIIIIII,3584,2560,222,11
569,589,YZZXIIIIIIXY,2,ZZZIIIIIIIIZ,XIIXIIIIIIXX,3585,2307,223,73
570,186,YZYIIIIIIIIZ,2,ZZZIIIIIIIIZ,XIXIIIIIIIII,3585,2560,223,11
571,289,YZZXIIIIIXYI,2,ZZZIIIIIIIZI,XIIXIIIIIXXI,3586,2310,224,72
572,187,YZYIIIIIIIZI,2,ZZZIIIIIIIZI,XIXIIIIIIIII,3586,2560,224,11
573,279,YZYIIIIIIXZX,2,ZZZIIIIIIIZI,XIXIIIIIIXIX,3586,2565,224,68
574,593,YZZXIIIIXYII,2,ZZZIIIIIIZII,XIIXIIIIXXII,3588,2316,225,74
575,188,YZYIIIIIIZII,2,ZZZIIIIIIZII,XIXIIIIIIIII,3588,2560,225,11
576,285,YZYIIIIIXZXI,2,ZZZIIIIIIZII,XIXIIIIIXIXI,3588,2570,225,69
577,597,YZZXIIIIXZZY,2,ZZZIIIIIIZZZ,XIIXIIIIXIIX,3591,2313,226,75
578,280,YZYIIIIIIYZY,2,ZZZIIIIIIZZZ,XIXIIIIIIXIX,3591,2565,226,68
579,189,YZYIIIIIZIII,2,ZZZIIIIIZIII,XIXIIIIIIIII,3592,2560,227,11
580,286,YZYIIIIIYZYI,2,ZZZIIIIIZZZI,XIXIIIIIXIXI,3598,2570,228,69
581,601,YZZXIIXYIIII,2,ZZZIIIIZIIII,XIIXIIXXIIII,3600,2352,229,76
582,190,YZYIIIIZIIII,2,ZZZIIIIZIIII,XIXIIIIIIIII,3600,2560,229,11
583,191,YZYIIIZIIIII,2,ZZZIIIZIIIII,XIXIIIIIIIII,3616,2560,230,11
584,605,YZZXXYIIIIII,2,ZZZIIZIIIIII,XIIXXXIIIIII,3648,2496,231,77
585,192,YZYIIZIIIIII,2,ZZZIIZIIIIII,XIXIIIIIIIII,3648,2560,231,11
586,193,YZYIZIIIIIII,2,ZZZIZIIIIIII,XIXIIIIIIIII,3712,2560,232,11
587,536,YZZIZZZZYIII,2,ZZZIZZZZZIII,XIIIIIIIXIII,3832,2056,233,63
588,581,YZYXZZZZZXII,2,ZZZIZZZZZIII,XIXXIIIIIXII,3832,2820,233,70
589,562,YZZIZZZZZZYI,2,ZZZIZZZZZZZI,XIIIIIIIIIXI,3838,2050,234,65
590,585,YZYXZZZZZZZX,2,ZZZIZZZZZZZI,XIXXIIIIIIIX,3838,2817,234,71
591,156,ZYZYIIIIIIII,2,ZZZZIIIIIIII,IXIXIIIIIIII,3840,1280,235,6
592,590,YZZYIIIIIIXX,2,ZZZZIIIIIIII,XIIXIIIIIIXX,3840,2307,235,73
593,594,YZZYIIIIXXII,2,ZZZZIIIIIIII,XIIXIIIIXXII,3840,2316,235,74
594,602,YZZYIIXXIIII,2,ZZZZIIIIIIII,XIIXIIXXIIII,3840,2352,235,76
595,606,YZZYXXIIIIII,2,ZZZZIIIIIIII,XIIXXXIIIIII,3840,2496,235,77
596,194,YZYZIIIIIIII,2,ZZZZIIIIIIII,XIXIIIIIIIII,3840,2560,235,11
597,290,YZZYIIIIIYYI,2,ZZZZIIIIIZZI,XIIXIIIIIXXI,3846,2310,236,72
598,598,YZZYIIIIXZZX,2,ZZZZIIIIIZZI,XIIXIIIIXIIX,3846,2313,236,75
599,537,YZZZIZZZYIII,2,ZZZZIZZZZIII,XIIIIIIIXIII,3960,2056,237,63
600,563,YZZZIZZZZZYI,2,ZZZZIZZZZZZI,XIIIIIIIIIXI,3966,2050,238,65
601,538,YZZZZIZZYIII,2,ZZZZZIZZZIII,XIIIIIIIXIII,4024,2056,239,63
602,609,YZZZYXZZZXII,2,ZZZZZIZZZIII,XIIIXXIIIXII,4024,2244,239,78
603,564,YZZZZIZZZZYI,2,ZZZZZIZZZZZI,XIIIIIIIIIXI,4030,2050,240,65
604,613,YZZZYXZZZZZX,2,ZZZZZIZZZZZI,XIIIXXIIIIIX,4030,2241,240,79
605,539,YZZZZZIZYIII,2,ZZZZZZIZZIII,XIIIIIIIXIII,4056,2056,241,63
606,565,YZZZZZIZZZYI,2,ZZZZZZIZZZZI,XIIIIIIIIIXI,4062,2050,242,65
607,540,YZZZZZZIYIII,2,ZZZZZZZIZIII,XIIIIIIIXIII,4072,2056,243,63
608,617,YZZZZZYXZXII,2,ZZZZZZZIZIII,XIIIIIXXIXII,4072,2100,243,80
609,566,YZZZZZZIZZYI,2,ZZZZZZZIZZZI,XIIIIIIIIIXI,4078,2050,244,65
610,621,YZZZZZYXZZZX,2,ZZZZZZZIZZZI,XIIIIIXXIIIX,4078,2097,244,81
611,567,YZZZZZZZIZYI,2,ZZZZZZZZIZZI,XIIIIIIIIIXI,4086,2050,245,65
612,541,YZZZZZZZYIII,2,ZZZZZZZZZIII,XIIIIIIIXIII,4088,2056,246,63
613,629,YZZZZZZZZXXY,2,ZZZZZZZZZIIZ,XIIIIIIIIXXX,4089,2055,247,83
614,542,YZZZZZZZYIIZ,2,ZZZZZZZZZIIZ,XIIIIIIIXIII,4089,2056,247,63
615,568,YZZZZZZZZIYI,2,ZZZZZZZZZIZI,XIIIIIIIIIXI,4090,2050,248,65
616,543,YZZZZZZZYIZI,2,ZZZZZZZZZIZI,XIIIIIIIXIII,4090,2056,248,63
617,625,YZZZZZZZYXZX,2,ZZZZZZZZZIZI,XIIIIIIIXXIX,4090,2061,248,82
618,468,ZYZZZZZZZYII,2,ZZZZZZZZZZII,IXIIIIIIIXII,4092,1028,249,50
619,630,YZZZZZZZZYXX,2,ZZZZZZZZZZII,XIIIIIIIIXXX,4092,2055,249,83
620,544,YZZZZZZZYZII,2,ZZZZZZZZZZII,XIIIIIIIXIII,4092,2056,249,63
621,618,YZZZZZYYZYII,2,ZZZZZZZZZZII,XIIIIIXXIXII,4092,2100,249,80
622,610,YZZZYYZZZYII,2,ZZZZZZZZZZII,XIIIXXIIIXII,4092,2244,249,78
623,582,YZYYZZZZZYII,2,ZZZZZZZZZZII,XIXXIIIIIXII,4092,2820,249,70
624,569,YZZZZZZZZZYI,2,ZZZZZZZZZZZI,XIIIIIIIIIXI,4094,2050,250,65
625,498,ZYZZZZZZZZZY,2,ZZZZZZZZZZZZ,IXIIIIIIIIIX,4095,1025,251,53
626,570,YZZZZZZZZZYZ,2,ZZZZZZZZZZZZ,XIIIIIIIIIXI,4095,2050,251,65
627,626,YZZZZZZZYYZY,2,ZZZZZZZZZZZZ,XIIIIIIIXXIX,4095,2061,251,82
628,622,YZZZZZYYZZZY,2,ZZZZZZZZZZZZ,XIIIIIXXIIIX,4095,2097,251,81
629,614,YZZZYYZZZZZY,2,ZZZZZZZZZZZZ,XIIIXXIIIIIX,4095,2241,251,79
630,586,YZYYZZZZZZZY,2,ZZZZZZZZZZZZ,XIXXIIIIIIIX,4095,2817,251,71
