,index,Pstring,type,Z,X,Znum,Xnum,zindex,xindex
525,217,YXIIIIIIIIXY,2,ZIIIIIIIIIIZ,XXIIIIIIIIXX,2049,3075,68,17
526,233,YXIIIIIIXYII,2,ZIIIIIIIIZII,XXIIIIIIXXII,2052,3084,70,21
527,245,YXIIIIXYIIII,2,ZIIIIIIZIIII,XXIIIIXXIIII,2064,3120,72,26
528,343,ZIIIIXZZZZZX,2,ZIIIIIZZZZZI,IIIIIXIIIIIX,2110,65,210,22
529,381,YXIIIXZZZZYI,2,ZIIIIIZZZZZI,XXIIIXIIIIXI,2110,3138,210,30
530,253,YXIIXYIIIIII,2,ZIIIIZIIIIII,XXIIXXIIIIII,2112,3264,74,38
531,373,ZIIIXZZZZZXI,2,ZIIIIZZZZZII,IIIIXIIIIIXI,2172,130,211,28
532,344,ZIIIIYZZZZZY,2,ZIIIIZZZZZZZ,IIIIIXIIIIIX,2175,65,212,22
533,465,YXIIXZZZZZZY,2,ZIIIIZZZZZZZ,XXIIXIIIIIIX,2175,3201,212,44
534,90,ZIIXZXIIIIII,2,ZIIIZIIIIIII,IIIXIXIIIIII,2176,320,75,1
535,197,YXIXYIIIIIII,2,ZIIIZIIIIIII,XXIXXIIIIIII,2176,3456,75,12
536,374,ZIIIYZZZZZYI,2,ZIIIZZZZZZZI,IIIIXIIIIIXI,2302,130,213,28
537,411,ZIIXZZZZZZZX,2,ZIIIZZZZZZZI,IIIXIIIIIIIX,2302,257,213,33
538,457,YXIXZZZZZZYI,2,ZIIIZZZZZZZI,XXIXIIIIIIXI,2302,3330,213,42
539,124,ZIXZXIIIIIII,2,ZIIZIIIIIIII,IIXIXIIIIIII,2304,640,76,5
540,317,YXXYIIIIIIII,2,ZIIZIIIIIIII,XXXXIIIIIIII,2304,3840,76,61
541,100,ZIIYZYIIIIII,2,ZIIZZZIIIIII,IIIXIXIIIIII,2496,320,214,1
542,533,YXXZZYIIIIII,2,ZIIZZZIIIIII,XXXIIXIIIIII,2496,3648,214,63
543,453,ZIXZZZZZZZXI,2,ZIIZZZZZZZII,IIXIIIIIIIXI,2556,514,215,41
544,412,ZIIYZZZZZZZY,2,ZIIZZZZZZZZZ,IIIXIIIIIIIX,2559,257,216,33
545,567,YXXZZZZZZZZY,2,ZIIZZZZZZZZZ,XXXIIIIIIIIX,2559,3585,216,67
546,146,ZXZXIIIIIIII,2,ZIZIIIIIIIII,IXIXIIIIIIII,2560,1280,77,6
547,184,YIYIIIIIIIII,2,ZIZIIIIIIIII,XIXIIIIIIIII,2560,2560,77,11
548,134,ZIYZYIIIIIII,2,ZIZZZIIIIIII,IIXIXIIIIIII,2944,640,217,5
549,275,ZXZZZXIIIIII,2,ZIZZZIIIIIII,IXIIIXIIIIII,2944,1088,217,46
550,304,YIZZYIIIIIII,2,ZIZZZIIIIIII,XIIIXIIIIIII,2944,2176,217,60
